id,date,store,item,day,year,month,datetime,weekday,weekday_name
0,2018-01-01,1,1,1,2018,1,2018-01-01,0,Monday
1,2018-01-02,1,1,2,2018,1,2018-01-02,1,Tuesday
2,2018-01-03,1,1,3,2018,1,2018-01-03,2,Wednesday
3,2018-01-04,1,1,4,2018,1,2018-01-04,3,Thursday
4,2018-01-05,1,1,5,2018,1,2018-01-05,4,Friday
5,2018-01-06,1,1,6,2018,1,2018-01-06,5,Saturday
6,2018-01-07,1,1,7,2018,1,2018-01-07,6,Sunday
7,2018-01-08,1,1,8,2018,1,2018-01-08,0,Monday
8,2018-01-09,1,1,9,2018,1,2018-01-09,1,Tuesday
9,2018-01-10,1,1,10,2018,1,2018-01-10,2,Wednesday
10,2018-01-11,1,1,11,2018,1,2018-01-11,3,Thursday
11,2018-01-12,1,1,12,2018,1,2018-01-12,4,Friday
12,2018-01-13,1,1,13,2018,1,2018-01-13,5,Saturday
13,2018-01-14,1,1,14,2018,1,2018-01-14,6,Sunday
14,2018-01-15,1,1,15,2018,1,2018-01-15,0,Monday
15,2018-01-16,1,1,16,2018,1,2018-01-16,1,Tuesday
16,2018-01-17,1,1,17,2018,1,2018-01-17,2,Wednesday
17,2018-01-18,1,1,18,2018,1,2018-01-18,3,Thursday
18,2018-01-19,1,1,19,2018,1,2018-01-19,4,Friday
19,2018-01-20,1,1,20,2018,1,2018-01-20,5,Saturday
20,2018-01-21,1,1,21,2018,1,2018-01-21,6,Sunday
21,2018-01-22,1,1,22,2018,1,2018-01-22,0,Monday
22,2018-01-23,1,1,23,2018,1,2018-01-23,1,Tuesday
23,2018-01-24,1,1,24,2018,1,2018-01-24,2,Wednesday
24,2018-01-25,1,1,25,2018,1,2018-01-25,3,Thursday
25,2018-01-26,1,1,26,2018,1,2018-01-26,4,Friday
26,2018-01-27,1,1,27,2018,1,2018-01-27,5,Saturday
27,2018-01-28,1,1,28,2018,1,2018-01-28,6,Sunday
28,2018-01-29,1,1,29,2018,1,2018-01-29,0,Monday
29,2018-01-30,1,1,30,2018,1,2018-01-30,1,Tuesday
30,2018-01-31,1,1,31,2018,1,2018-01-31,2,Wednesday
31,2018-02-01,1,1,1,2018,2,2018-02-01,3,Thursday
32,2018-02-02,1,1,2,2018,2,2018-02-02,4,Friday
33,2018-02-03,1,1,3,2018,2,2018-02-03,5,Saturday
34,2018-02-04,1,1,4,2018,2,2018-02-04,6,Sunday
35,2018-02-05,1,1,5,2018,2,2018-02-05,0,Monday
36,2018-02-06,1,1,6,2018,2,2018-02-06,1,Tuesday
37,2018-02-07,1,1,7,2018,2,2018-02-07,2,Wednesday
38,2018-02-08,1,1,8,2018,2,2018-02-08,3,Thursday
39,2018-02-09,1,1,9,2018,2,2018-02-09,4,Friday
40,2018-02-10,1,1,10,2018,2,2018-02-10,5,Saturday
41,2018-02-11,1,1,11,2018,2,2018-02-11,6,Sunday
42,2018-02-12,1,1,12,2018,2,2018-02-12,0,Monday
43,2018-02-13,1,1,13,2018,2,2018-02-13,1,Tuesday
44,2018-02-14,1,1,14,2018,2,2018-02-14,2,Wednesday
45,2018-02-15,1,1,15,2018,2,2018-02-15,3,Thursday
46,2018-02-16,1,1,16,2018,2,2018-02-16,4,Friday
47,2018-02-17,1,1,17,2018,2,2018-02-17,5,Saturday
48,2018-02-18,1,1,18,2018,2,2018-02-18,6,Sunday
49,2018-02-19,1,1,19,2018,2,2018-02-19,0,Monday
50,2018-02-20,1,1,20,2018,2,2018-02-20,1,Tuesday
51,2018-02-21,1,1,21,2018,2,2018-02-21,2,Wednesday
52,2018-02-22,1,1,22,2018,2,2018-02-22,3,Thursday
53,2018-02-23,1,1,23,2018,2,2018-02-23,4,Friday
54,2018-02-24,1,1,24,2018,2,2018-02-24,5,Saturday
55,2018-02-25,1,1,25,2018,2,2018-02-25,6,Sunday
56,2018-02-26,1,1,26,2018,2,2018-02-26,0,Monday
57,2018-02-27,1,1,27,2018,2,2018-02-27,1,Tuesday
58,2018-02-28,1,1,28,2018,2,2018-02-28,2,Wednesday
59,2018-03-01,1,1,1,2018,3,2018-03-01,3,Thursday
60,2018-03-02,1,1,2,2018,3,2018-03-02,4,Friday
61,2018-03-03,1,1,3,2018,3,2018-03-03,5,Saturday
62,2018-03-04,1,1,4,2018,3,2018-03-04,6,Sunday
63,2018-03-05,1,1,5,2018,3,2018-03-05,0,Monday
64,2018-03-06,1,1,6,2018,3,2018-03-06,1,Tuesday
65,2018-03-07,1,1,7,2018,3,2018-03-07,2,Wednesday
66,2018-03-08,1,1,8,2018,3,2018-03-08,3,Thursday
67,2018-03-09,1,1,9,2018,3,2018-03-09,4,Friday
68,2018-03-10,1,1,10,2018,3,2018-03-10,5,Saturday
69,2018-03-11,1,1,11,2018,3,2018-03-11,6,Sunday
70,2018-03-12,1,1,12,2018,3,2018-03-12,0,Monday
71,2018-03-13,1,1,13,2018,3,2018-03-13,1,Tuesday
72,2018-03-14,1,1,14,2018,3,2018-03-14,2,Wednesday
73,2018-03-15,1,1,15,2018,3,2018-03-15,3,Thursday
74,2018-03-16,1,1,16,2018,3,2018-03-16,4,Friday
75,2018-03-17,1,1,17,2018,3,2018-03-17,5,Saturday
76,2018-03-18,1,1,18,2018,3,2018-03-18,6,Sunday
77,2018-03-19,1,1,19,2018,3,2018-03-19,0,Monday
78,2018-03-20,1,1,20,2018,3,2018-03-20,1,Tuesday
79,2018-03-21,1,1,21,2018,3,2018-03-21,2,Wednesday
80,2018-03-22,1,1,22,2018,3,2018-03-22,3,Thursday
81,2018-03-23,1,1,23,2018,3,2018-03-23,4,Friday
82,2018-03-24,1,1,24,2018,3,2018-03-24,5,Saturday
83,2018-03-25,1,1,25,2018,3,2018-03-25,6,Sunday
84,2018-03-26,1,1,26,2018,3,2018-03-26,0,Monday
85,2018-03-27,1,1,27,2018,3,2018-03-27,1,Tuesday
86,2018-03-28,1,1,28,2018,3,2018-03-28,2,Wednesday
87,2018-03-29,1,1,29,2018,3,2018-03-29,3,Thursday
88,2018-03-30,1,1,30,2018,3,2018-03-30,4,Friday
89,2018-03-31,1,1,31,2018,3,2018-03-31,5,Saturday
90,2018-01-01,2,1,1,2018,1,2018-01-01,0,Monday
91,2018-01-02,2,1,2,2018,1,2018-01-02,1,Tuesday
92,2018-01-03,2,1,3,2018,1,2018-01-03,2,Wednesday
93,2018-01-04,2,1,4,2018,1,2018-01-04,3,Thursday
94,2018-01-05,2,1,5,2018,1,2018-01-05,4,Friday
95,2018-01-06,2,1,6,2018,1,2018-01-06,5,Saturday
96,2018-01-07,2,1,7,2018,1,2018-01-07,6,Sunday
97,2018-01-08,2,1,8,2018,1,2018-01-08,0,Monday
98,2018-01-09,2,1,9,2018,1,2018-01-09,1,Tuesday
99,2018-01-10,2,1,10,2018,1,2018-01-10,2,Wednesday
100,2018-01-11,2,1,11,2018,1,2018-01-11,3,Thursday
101,2018-01-12,2,1,12,2018,1,2018-01-12,4,Friday
102,2018-01-13,2,1,13,2018,1,2018-01-13,5,Saturday
103,2018-01-14,2,1,14,2018,1,2018-01-14,6,Sunday
104,2018-01-15,2,1,15,2018,1,2018-01-15,0,Monday
105,2018-01-16,2,1,16,2018,1,2018-01-16,1,Tuesday
106,2018-01-17,2,1,17,2018,1,2018-01-17,2,Wednesday
107,2018-01-18,2,1,18,2018,1,2018-01-18,3,Thursday
108,2018-01-19,2,1,19,2018,1,2018-01-19,4,Friday
109,2018-01-20,2,1,20,2018,1,2018-01-20,5,Saturday
110,2018-01-21,2,1,21,2018,1,2018-01-21,6,Sunday
111,2018-01-22,2,1,22,2018,1,2018-01-22,0,Monday
112,2018-01-23,2,1,23,2018,1,2018-01-23,1,Tuesday
113,2018-01-24,2,1,24,2018,1,2018-01-24,2,Wednesday
114,2018-01-25,2,1,25,2018,1,2018-01-25,3,Thursday
115,2018-01-26,2,1,26,2018,1,2018-01-26,4,Friday
116,2018-01-27,2,1,27,2018,1,2018-01-27,5,Saturday
117,2018-01-28,2,1,28,2018,1,2018-01-28,6,Sunday
118,2018-01-29,2,1,29,2018,1,2018-01-29,0,Monday
119,2018-01-30,2,1,30,2018,1,2018-01-30,1,Tuesday
120,2018-01-31,2,1,31,2018,1,2018-01-31,2,Wednesday
121,2018-02-01,2,1,1,2018,2,2018-02-01,3,Thursday
122,2018-02-02,2,1,2,2018,2,2018-02-02,4,Friday
123,2018-02-03,2,1,3,2018,2,2018-02-03,5,Saturday
124,2018-02-04,2,1,4,2018,2,2018-02-04,6,Sunday
125,2018-02-05,2,1,5,2018,2,2018-02-05,0,Monday
126,2018-02-06,2,1,6,2018,2,2018-02-06,1,Tuesday
127,2018-02-07,2,1,7,2018,2,2018-02-07,2,Wednesday
128,2018-02-08,2,1,8,2018,2,2018-02-08,3,Thursday
129,2018-02-09,2,1,9,2018,2,2018-02-09,4,Friday
130,2018-02-10,2,1,10,2018,2,2018-02-10,5,Saturday
131,2018-02-11,2,1,11,2018,2,2018-02-11,6,Sunday
132,2018-02-12,2,1,12,2018,2,2018-02-12,0,Monday
133,2018-02-13,2,1,13,2018,2,2018-02-13,1,Tuesday
134,2018-02-14,2,1,14,2018,2,2018-02-14,2,Wednesday
135,2018-02-15,2,1,15,2018,2,2018-02-15,3,Thursday
136,2018-02-16,2,1,16,2018,2,2018-02-16,4,Friday
137,2018-02-17,2,1,17,2018,2,2018-02-17,5,Saturday
138,2018-02-18,2,1,18,2018,2,2018-02-18,6,Sunday
139,2018-02-19,2,1,19,2018,2,2018-02-19,0,Monday
140,2018-02-20,2,1,20,2018,2,2018-02-20,1,Tuesday
141,2018-02-21,2,1,21,2018,2,2018-02-21,2,Wednesday
142,2018-02-22,2,1,22,2018,2,2018-02-22,3,Thursday
143,2018-02-23,2,1,23,2018,2,2018-02-23,4,Friday
144,2018-02-24,2,1,24,2018,2,2018-02-24,5,Saturday
145,2018-02-25,2,1,25,2018,2,2018-02-25,6,Sunday
146,2018-02-26,2,1,26,2018,2,2018-02-26,0,Monday
147,2018-02-27,2,1,27,2018,2,2018-02-27,1,Tuesday
148,2018-02-28,2,1,28,2018,2,2018-02-28,2,Wednesday
149,2018-03-01,2,1,1,2018,3,2018-03-01,3,Thursday
